record_id,tokenizer_name,test_name,baseline_token_count,char_count,compression_ratio,estimated_cost,fertility_rate,max_pieces_per_word,mean_tokens_per_sentence,nsl,oov_count,oov_rate,pieces_per_word,sentence_count,token_count,word_count,input_categories_json,input_metadata_json,output_metadata_json
common_crawl-3347,gpt2,token_count,,,,,,,,,,,,,605,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-25 10:30:06"", ""url"": ""https://www.wired.com/2015/08/learning-physics-tough-get-used/?intcid=inline_amp""}",{}
common_crawl-1496,gpt2,token_count,,,,,,,,,,,,,54,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-21 20:44:07"", ""url"": ""https://iono.fm/e/612227""}",{}
common_crawl-8409,gpt2,token_count,,,,,,,,,,,,,210,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-19 19:17:46"", ""url"": ""https://shopintheclouds.co.uk/index.php/product/welsh-lovespoon/""}",{}
common_crawl-2131,gpt2,token_count,,,,,,,,,,,,,1059,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-20 11:15:19"", ""url"": ""https://www.freedomandflourishing.com/2012/07/what-implications-does-monitory.html""}",{}
common_crawl-5000,gpt2,token_count,,,,,,,,,,,,,1222,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-21 18:06:01"", ""url"": ""http://airkhruang.com/suits-rachel-cheats-on-mike.html""}",{}
common_crawl-1734,gpt2,token_count,,,,,,,,,,,,,57,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-20 16:40:16"", ""url"": ""https://irvalandmail.com/walking-food-tours-in-new-orleans.html""}",{}
common_crawl-9274,gpt2,token_count,,,,,,,,,,,,,49,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-22 10:48:06"", ""url"": ""https://www.bcf.com.au/p/fuel-spin-tow-tube/537462.html""}",{}
common_crawl-3004,gpt2,token_count,,,,,,,,,,,,,592,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-21 15:14:07"", ""url"": ""http://www.digitaljournal.com/article/363210""}",{}
common_crawl-2465,gpt2,token_count,,,,,,,,,,,,,130,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-23 01:57:14"", ""url"": ""http://www.carolineandrus.com/blog/review-the-memory-of-fire-by-callie-bates/""}",{}
common_crawl-2352,gpt2,token_count,,,,,,,,,,,,,316,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-20 18:40:41"", ""url"": ""https://www.pcmag.com/news/298890/u-s-judge-tosses-motorola-apple-patent-suit""}",{}
common_crawl-7771,gpt2,token_count,,,,,,,,,,,,,1129,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-18 22:20:37"", ""url"": ""https://www.tribuneindia.com/2009/20091101/letters.htm""}",{}
common_crawl-7452,gpt2,token_count,,,,,,,,,,,,,1159,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-18 11:01:20"", ""url"": ""https://everythingsysadmin.com/2014/07/could-devops-save-spiderman.html""}",{}
common_crawl-1352,gpt2,token_count,,,,,,,,,,,,,753,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-24 16:26:26"", ""url"": ""https://elsale.co/blog/category/travel""}",{}
common_crawl-4742,gpt2,token_count,,,,,,,,,,,,,265,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-19 01:00:43"", ""url"": ""https://www.goaholidayhomes.com/house-for-rent-in-goa/premium-beach-villa/""}",{}
common_crawl-3990,gpt2,token_count,,,,,,,,,,,,,72,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-25 22:26:49"", ""url"": ""https://www.winncom.com/en/videos/126""}",{}
common_crawl-8308,gpt2,token_count,,,,,,,,,,,,,413,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-19 00:15:48"", ""url"": ""https://www.nadelassociates.com/blog/_clone/2014/11/some-tips-for-dealing-with-a-new-york-condo-board-of-managers.shtml""}",{}
common_crawl-387,gpt2,token_count,,,,,,,,,,,,,683,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-22 13:21:10"", ""url"": ""https://blomerusphotography.com/2016/05/natural-birth-at-netcare-blaauwberg-ben-when-the-birth-photographer-missed-the-birth-cape-town-birth-photographer/""}",{}
common_crawl-1721,gpt2,token_count,,,,,,,,,,,,,483,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-22 14:33:20"", ""url"": ""http://www.massyouthbuild.org/blog/archives/06-2012""}",{}
common_crawl-75,gpt2,token_count,,,,,,,,,,,,,163,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-24 18:12:42"", ""url"": ""https://www.woodmac.com/reports/lng-rough-outage-implications-for-lng-players-46460347""}",{}
common_crawl-2852,gpt2,token_count,,,,,,,,,,,,,795,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-21 14:34:38"", ""url"": ""https://www.insidermonkey.com/blog/is-be-aerospace-inc-nasdaqbeav-going-to-burn-these-hedge-funds-389426/""}",{}
common_crawl-570,gpt2,token_count,,,,,,,,,,,,,521,,"{""source"": ""huggingface"", ""split"": ""train""}","{""timestamp"": ""2019-04-20 19:03:37"", ""url"": ""https://www.fergusweb.net/blog/2006/10/feeds-right/""}",{}
