record_id,tokenizer_name,test_name,baseline_token_count,char_count,compression_ratio,estimated_cost,fertility_rate,max_pieces_per_word,mean_tokens_per_sentence,nsl,oov_count,oov_rate,pieces_per_word,sentence_count,token_count,word_count,input_categories_json,input_metadata_json,output_metadata_json
4087840,gpt2,token_count,,,,,,,,,,,,,513,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4087840"", ""title"": ""Criolla"", ""url"": ""https://en.wikipedia.org/wiki/Criolla""}",{}
4047335,gpt2,token_count,,,,,,,,,,,,,420,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4047335"", ""title"": ""SRE"", ""url"": ""https://en.wikipedia.org/wiki/SRE""}",{}
5387,gpt2,token_count,,,,,,,,,,,,,5444,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""5387"", ""title"": ""Condensed matter physics"", ""url"": ""https://en.wikipedia.org/wiki/Condensed%20matter%20physics""}",{}
4073210,gpt2,token_count,,,,,,,,,,,,,1137,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4073210"", ""title"": ""Daniel P. Schrag"", ""url"": ""https://en.wikipedia.org/wiki/Daniel%20P.%20Schrag""}",{}
4080917,gpt2,token_count,,,,,,,,,,,,,2243,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4080917"", ""title"": ""Data transformation (computing)"", ""url"": ""https://en.wikipedia.org/wiki/Data%20transformation%20%28computing%29""}",{}
4070159,gpt2,token_count,,,,,,,,,,,,,1629,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4070159"", ""title"": ""Pigs Have Wings"", ""url"": ""https://en.wikipedia.org/wiki/Pigs%20Have%20Wings""}",{}
4068176,gpt2,token_count,,,,,,,,,,,,,435,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4068176"", ""title"": ""List of Australian Army generals"", ""url"": ""https://en.wikipedia.org/wiki/List%20of%20Australian%20Army%20generals""}",{}
4083384,gpt2,token_count,,,,,,,,,,,,,898,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4083384"", ""title"": ""Timeless: The Classics Vol. 2"", ""url"": ""https://en.wikipedia.org/wiki/Timeless%3A%20The%20Classics%20Vol.%202""}",{}
4083262,gpt2,token_count,,,,,,,,,,,,,71,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4083262"", ""title"": ""KLI"", ""url"": ""https://en.wikipedia.org/wiki/KLI""}",{}
4614,gpt2,token_count,,,,,,,,,,,,,15281,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4614"", ""title"": ""Boeing 747"", ""url"": ""https://en.wikipedia.org/wiki/Boeing%20747""}",{}
4091737,gpt2,token_count,,,,,,,,,,,,,224,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4091737"", ""title"": ""Fiction International"", ""url"": ""https://en.wikipedia.org/wiki/Fiction%20International""}",{}
4055222,gpt2,token_count,,,,,,,,,,,,,885,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4055222"", ""title"": ""London Symphony Chorus"", ""url"": ""https://en.wikipedia.org/wiki/London%20Symphony%20Chorus""}",{}
4093685,gpt2,token_count,,,,,,,,,,,,,234,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4093685"", ""title"": ""Nikolayevsk"", ""url"": ""https://en.wikipedia.org/wiki/Nikolayevsk""}",{}
4166,gpt2,token_count,,,,,,,,,,,,,3773,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4166"", ""title"": ""Bill Walsh (American football coach)"", ""url"": ""https://en.wikipedia.org/wiki/Bill%20Walsh%20%28American%20football%20coach%29""}",{}
4098871,gpt2,token_count,,,,,,,,,,,,,1030,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4098871"", ""title"": ""USS Sims (DE-154)"", ""url"": ""https://en.wikipedia.org/wiki/USS%20Sims%20%28DE-154%29""}",{}
1536,gpt2,token_count,,,,,,,,,,,,,1964,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""1536"", ""title"": ""Acropolis"", ""url"": ""https://en.wikipedia.org/wiki/Acropolis""}",{}
4098212,gpt2,token_count,,,,,,,,,,,,,815,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4098212"", ""title"": ""Tommy Polley"", ""url"": ""https://en.wikipedia.org/wiki/Tommy%20Polley""}",{}
1608,gpt2,token_count,,,,,,,,,,,,,41,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""1608"", ""title"": ""Alexander V"", ""url"": ""https://en.wikipedia.org/wiki/Alexander%20V""}",{}
4051282,gpt2,token_count,,,,,,,,,,,,,644,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4051282"", ""title"": ""Karapet Chobanyan"", ""url"": ""https://en.wikipedia.org/wiki/Karapet%20Chobanyan""}",{}
4453,gpt2,token_count,,,,,,,,,,,,,1886,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4453"", ""title"": ""Book of Nahum"", ""url"": ""https://en.wikipedia.org/wiki/Book%20of%20Nahum""}",{}
4052122,gpt2,token_count,,,,,,,,,,,,,818,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4052122"", ""title"": ""Congham"", ""url"": ""https://en.wikipedia.org/wiki/Congham""}",{}
844,gpt2,token_count,,,,,,,,,,,,,18121,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""844"", ""title"": ""Amsterdam"", ""url"": ""https://en.wikipedia.org/wiki/Amsterdam""}",{}
4063264,gpt2,token_count,,,,,,,,,,,,,269,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4063264"", ""title"": ""Izayoi"", ""url"": ""https://en.wikipedia.org/wiki/Izayoi""}",{}
4097992,gpt2,token_count,,,,,,,,,,,,,288,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4097992"", ""title"": ""Prestwick International Airport railway station"", ""url"": ""https://en.wikipedia.org/wiki/Prestwick%20International%20Airport%20railway%20station""}",{}
4049080,gpt2,token_count,,,,,,,,,,,,,1622,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4049080"", ""title"": ""George Junior Republic"", ""url"": ""https://en.wikipedia.org/wiki/George%20Junior%20Republic""}",{}
4102369,gpt2,token_count,,,,,,,,,,,,,322,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4102369"", ""title"": ""The Final Cut (song)"", ""url"": ""https://en.wikipedia.org/wiki/The%20Final%20Cut%20%28song%29""}",{}
5486,gpt2,token_count,,,,,,,,,,,,,4366,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""5486"", ""title"": ""Central African Armed Forces"", ""url"": ""https://en.wikipedia.org/wiki/Central%20African%20Armed%20Forces""}",{}
4046564,gpt2,token_count,,,,,,,,,,,,,1006,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4046564"", ""title"": ""If You Want Me to Stay"", ""url"": ""https://en.wikipedia.org/wiki/If%20You%20Want%20Me%20to%20Stay""}",{}
4102753,gpt2,token_count,,,,,,,,,,,,,286,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4102753"", ""title"": ""Meaghan Simister"", ""url"": ""https://en.wikipedia.org/wiki/Meaghan%20Simister""}",{}
4102508,gpt2,token_count,,,,,,,,,,,,,468,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4102508"", ""title"": ""Korgan"", ""url"": ""https://en.wikipedia.org/wiki/Korgan""}",{}
4091023,gpt2,token_count,,,,,,,,,,,,,771,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4091023"", ""title"": ""Ted Fenton"", ""url"": ""https://en.wikipedia.org/wiki/Ted%20Fenton""}",{}
4100474,gpt2,token_count,,,,,,,,,,,,,1688,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4100474"", ""title"": ""Smith's Weekly"", ""url"": ""https://en.wikipedia.org/wiki/Smith%27s%20Weekly""}",{}
4092586,gpt2,token_count,,,,,,,,,,,,,280,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4092586"", ""title"": ""Cajvana"", ""url"": ""https://en.wikipedia.org/wiki/Cajvana""}",{}
4094699,gpt2,token_count,,,,,,,,,,,,,677,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4094699"", ""title"": ""Gyeongnam FC"", ""url"": ""https://en.wikipedia.org/wiki/Gyeongnam%20FC""}",{}
4083392,gpt2,token_count,,,,,,,,,,,,,387,,"{""source"": ""huggingface"", ""split"": ""train""}","{""id"": ""4083392"", ""title"": ""Poplar"", ""url"": ""https://en.wikipedia.org/wiki/Poplar""}",{}
