record_id,tokenizer_name,test_name,baseline_token_count,char_count,compression_ratio,estimated_cost,fertility_rate,max_pieces_per_word,mean_tokens_per_sentence,nsl,oov_count,oov_rate,pieces_per_word,sentence_count,token_count,word_count,input_categories_json,input_metadata_json,output_metadata_json
opensubtitles-5433,gpt2,token_count,,,,,,,,,,,,,27,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""..ركبتِ في سيارتي، جئتِ لمجموعتي والان تجرؤين على دقّ جرس منزلي؟""}",{}
opensubtitles-8008,gpt2,token_count,,,,,,,,,,,,,5,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""من التقيتي؟""}",{}
opensubtitles-5149,gpt2,token_count,,,,,,,,,,,,,2,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""لا؟""}",{}
opensubtitles-8517,gpt2,token_count,,,,,,,,,,,,,12,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""،لأنني كنت أنظر لكِ فقط""}",{}
opensubtitles-7721,gpt2,token_count,,,,,,,,,,,,,12,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""الا تريد ان تعرف بمشاعرها اتجاهك؟""}",{}
opensubtitles-5640,gpt2,token_count,,,,,,,,,,,,,9,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""أنا لن أعمل هنا كـ سكرتيرتك ؟""}",{}
opensubtitles-7365,gpt2,token_count,,,,,,,,,,,,,6,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""\"" مالذي أعنيه لك \""""}",{}
opensubtitles-9312,gpt2,token_count,,,,,,,,,,,,,26,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""لكنها تقول إنني لم أفعل و إننا كنا نتسلي فقط""}",{}
opensubtitles-9621,gpt2,token_count,,,,,,,,,,,,,17,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": "".... أنت تقول كنت أحاول أن أجد شريك هي جو ؟""}",{}
opensubtitles-5771,gpt2,token_count,,,,,,,,,,,,,8,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""هل هذه غرفة الحفيد الميت ؟""}",{}
opensubtitles-7279,gpt2,token_count,,,,,,,,,,,,,7,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""...... يجب أن أصنع شئ ما معها""}",{}
opensubtitles-3849,gpt2,token_count,,,,,,,,,,,,,2,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""James...""}",{}
opensubtitles-192,gpt2,token_count,,,,,,,,,,,,,11,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""نحن سَنَهْدفُ إلى السرعةِ للجدولِ النفّاثِ.""}",{}
opensubtitles-4688,gpt2,token_count,,,,,,,,,,,,,12,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""انه مثل \""هذه كيفية معرفتي بك\""""}",{}
opensubtitles-634,gpt2,token_count,,,,,,,,,,,,,15,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""وليـست لديك أي أوامر""}",{}
opensubtitles-4226,gpt2,token_count,,,,,,,,,,,,,7,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""أصبح (جوني) يفعل أي شيئ الآن""}",{}
opensubtitles-8910,gpt2,token_count,,,,,,,,,,,,,10,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""لا بأس إذا كان ليس لديك واحد""}",{}
opensubtitles-8255,gpt2,token_count,,,,,,,,,,,,,15,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""بما انها هدية من خطيبتك فاتركه هنا""}",{}
opensubtitles-332,gpt2,token_count,,,,,,,,,,,,,17,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""قُلتُ، ' بيت جونسن لَيسَ هنا , بيتنا لَيسَ هنا.""}",{}
opensubtitles-1180,gpt2,token_count,,,,,,,,,,,,,11,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": """"}",{}
opensubtitles-9379,gpt2,token_count,,,,,,,,,,,,,10,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""هذه فرصة رائعة !""}",{}
opensubtitles-7381,gpt2,token_count,,,,,,,,,,,,,8,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""لقد أخبرني بأنه يحبها أكثر""}",{}
opensubtitles-4638,gpt2,token_count,,,,,,,,,,,,,11,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""لقد كان شخصاً يحدق بي""}",{}
opensubtitles-9940,gpt2,token_count,,,,,,,,,,,,,9,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""الآن، أَخْـبرنِـي أن أغرُب عن وجهك فحسب""}",{}
opensubtitles-10734,gpt2,token_count,,,,,,,,,,,,,13,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""سوف يكون من الخطير أن يأتي شيءٌ ما وأنتِ تقودي السيارة""}",{}
opensubtitles-7242,gpt2,token_count,,,,,,,,,,,,,8,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""ليس لدي ما أقوله""}",{}
opensubtitles-3873,gpt2,token_count,,,,,,,,,,,,,11,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""Some rand to get you through the first few weeks.""}",{}
opensubtitles-4407,gpt2,token_count,,,,,,,,,,,,,10,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""لم تعود ( كارولينا) هل عادت؟""}",{}
opensubtitles-9239,gpt2,token_count,,,,,,,,,,,,,19,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""هل أنا حقاً شربت هذه و بقيت معكِ هنا ؟""}",{}
opensubtitles-5368,gpt2,token_count,,,,,,,,,,,,,9,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""..أريد الذهاب، لكن""}",{}
opensubtitles-106,gpt2,token_count,,,,,,,,,,,,,19,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""خمسون ميل في السّاعة , عاصفة جيدة , الأشجار وخطوط الكهرباء أسفل , البيوت تَضرّرتْ.""}",{}
opensubtitles-3501,gpt2,token_count,,,,,,,,,,,,,3,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""إستمر بالمشي""}",{}
opensubtitles-5752,gpt2,token_count,,,,,,,,,,,,,6,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""ماذا تفعلين الآن ؟""}",{}
opensubtitles-6450,gpt2,token_count,,,,,,,,,,,,,7,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""هل تريد أن تتزوجها؟""}",{}
opensubtitles-9933,gpt2,token_count,,,,,,,,,,,,,14,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""ترجمة""}",{}
opensubtitles-5193,gpt2,token_count,,,,,,,,,,,,,9,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""لهذا قمنا بجولة وسلمنا على كل الموظفون""}",{}
opensubtitles-58,gpt2,token_count,,,,,,,,,,,,,26,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""الطاقة الحادّة للشمسِ تُسخّنُ الهواءَ , الذي يَرتفعُ في الأعمدةِ الضخمةِ , مصّ في الرياحِ السطحيّةِ القويَّةِ مِنْ الشمالِ والجنوبِ.""}",{}
opensubtitles-5175,gpt2,token_count,,,,,,,,,,,,,6,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""تحب ذلك""}",{}
opensubtitles-609,gpt2,token_count,,,,,,,,,,,,,3,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""مولاتــي""}",{}
opensubtitles-1383,gpt2,token_count,,,,,,,,,,,,,15,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""رفع الضرائب على القرويين الفقراء رغبةً لملأ قلعته بأروع الأشياء""}",{}
opensubtitles-8445,gpt2,token_count,,,,,,,,,,,,,18,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""لكي اخفف من غضبها العشاء على حسابي""}",{}
opensubtitles-5435,gpt2,token_count,,,,,,,,,,,,,4,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""(جو غون)""}",{}
opensubtitles-1194,gpt2,token_count,,,,,,,,,,,,,5,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""ماذا ؟""}",{}
opensubtitles-3361,gpt2,token_count,,,,,,,,,,,,,4,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""على الأرجح أنها معدات صيد""}",{}
opensubtitles-7330,gpt2,token_count,,,,,,,,,,,,,9,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""\""بالنسبةلي ،يمكنأنيكون لكفقط\"".""}",{}
opensubtitles-1036,gpt2,token_count,,,,,,,,,,,,,6,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": """"}",{}
opensubtitles-6299,gpt2,token_count,,,,,,,,,,,,,2,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""إذهب""}",{}
opensubtitles-256,gpt2,token_count,,,,,,,,,,,,,9,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""وبعد ذلك، ظَهرَ الجدولُ النفّاث ثانية.""}",{}
opensubtitles-646,gpt2,token_count,,,,,,,,,,,,,5,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""فرسـان الـ جراستون ؟""}",{}
opensubtitles-4267,gpt2,token_count,,,,,,,,,,,,,12,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""إذا كنت تريد أن تكون هكذا فلابأس""}",{}
opensubtitles-4379,gpt2,token_count,,,,,,,,,,,,,9,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""بالله عليكم - هل أنت جاد؟""}",{}
opensubtitles-5705,gpt2,token_count,,,,,,,,,,,,,10,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""صحيح ؟""}",{}
opensubtitles-1716,gpt2,token_count,,,,,,,,,,,,,10,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""والدك لص ! كاذب""}",{}
opensubtitles-1415,gpt2,token_count,,,,,,,,,,,,,4,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""# قرية صغيرة، قرية الهدوء ساكنها #""}",{}
opensubtitles-9107,gpt2,token_count,,,,,,,,,,,,,11,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""لقد قابلتُ عمّي""}",{}
opensubtitles-8575,gpt2,token_count,,,,,,,,,,,,,3,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""،الآن""}",{}
opensubtitles-1960,gpt2,token_count,,,,,,,,,,,,,3,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": """"}",{}
opensubtitles-9036,gpt2,token_count,,,,,,,,,,,,,25,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""السيّد \""هان\"" سوف يجدهُ و وقتها سوف أسحقهُ""}",{}
opensubtitles-9007,gpt2,token_count,,,,,,,,,,,,,11,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""حدّد نفسك بأن تكون مُسجل فحسب""}",{}
opensubtitles-5076,gpt2,token_count,,,,,,,,,,,,,14,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""..رأيت بعض الأمور لذا لا يمكنني الوثوق به كثيراً""}",{}
opensubtitles-465,gpt2,token_count,,,,,,,,,,,,,27,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""أنا لا أَعْرفُ لماذا، لَكنِّي عَرفتُ مباشرة أنه كَانَ أبي , تَمَدُّد على الوجه في الماءِ , فقط يغادر.""}",{}
opensubtitles-8147,gpt2,token_count,,,,,,,,,,,,,11,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""سوف اذهب و امسك بشبح المزهرية""}",{}
opensubtitles-1426,gpt2,token_count,,,,,,,,,,,,,10,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""حسنًا، أظن أنّي فقدت شيئًا ! الأمر وما فيه أنّي لا أتذكر ما هو""}",{}
opensubtitles-5687,gpt2,token_count,,,,,,,,,,,,,12,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""كيف توفي شاب مثلك ؟""}",{}
opensubtitles-9917,gpt2,token_count,,,,,,,,,,,,,12,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""هل تعتقدي أني أحببت المجيء و البحث عنكِ ؟""}",{}
opensubtitles-1733,gpt2,token_count,,,,,,,,,,,,,4,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""أأنت قاسٍ لدرجة أنّك لن تدع فتاة تعطي والدها قبلة الوداع؟""}",{}
opensubtitles-4104,gpt2,token_count,,,,,,,,,,,,,4,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""فهي جميلة""}",{}
opensubtitles-7472,gpt2,token_count,,,,,,,,,,,,,11,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""غونغ شيل لقد جلبت شاي القرفة""}",{}
opensubtitles-5758,gpt2,token_count,,,,,,,,,,,,,3,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""أي نوع من الفساتين ؟""}",{}
opensubtitles-9951,gpt2,token_count,,,,,,,,,,,,,18,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""لا أعتقد أنني سوف أعرف حتى أذهب""}",{}
opensubtitles-7232,gpt2,token_count,,,,,,,,,,,,,7,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""سوف أجن حقاً""}",{}
opensubtitles-2848,gpt2,token_count,,,,,,,,,,,,,4,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""(أنا (جاستون""}",{}
opensubtitles-5106,gpt2,token_count,,,,,,,,,,,,,3,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""إذهبي""}",{}
opensubtitles-797,gpt2,token_count,,,,,,,,,,,,,6,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""هذا يعني أنهم لن يصلوو إلى هنا قبل 30 دقيقة""}",{}
opensubtitles-2478,gpt2,token_count,,,,,,,,,,,,,7,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""حمدًا لله قضيت آخر خمسة أيام !""}",{}
opensubtitles-2472,gpt2,token_count,,,,,,,,,,,,,9,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""كلما أغمضت عيناي أتخيل (موريس) متقطعًا به السبل وحيدًا""}",{}
opensubtitles-8743,gpt2,token_count,,,,,,,,,,,,,5,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""جُندي ترك الخدمة""}",{}
opensubtitles-6204,gpt2,token_count,,,,,,,,,,,,,11,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""فقط مجموعة أشياء غريبة""}",{}
opensubtitles-8491,gpt2,token_count,,,,,,,,,,,,,31,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""أثناء العملية، قلبهُ توقّـفَ لِــوَهلة ولكن، لِــحُسن الحظ عاد النّـبضُ مرة أخرى و تُقام العمليّة الآن""}",{}
opensubtitles-7668,gpt2,token_count,,,,,,,,,,,,,5,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""هل الرئيس هنا ؟""}",{}
opensubtitles-7885,gpt2,token_count,,,,,,,,,,,,,4,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""حقا؟""}",{}
opensubtitles-4514,gpt2,token_count,,,,,,,,,,,,,3,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""ماذا ؟""}",{}
opensubtitles-5890,gpt2,token_count,,,,,,,,,,,,,4,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": "". يبدو هذا""}",{}
opensubtitles-4963,gpt2,token_count,,,,,,,,,,,,,6,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""(تي كونغ شيل)""}",{}
opensubtitles-5818,gpt2,token_count,,,,,,,,,,,,,2,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""من قد تكون ؟""}",{}
opensubtitles-772,gpt2,token_count,,,,,,,,,,,,,8,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""...إذاً دعينـا ننتهي الآن""}",{}
opensubtitles-8314,gpt2,token_count,,,,,,,,,,,,,7,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""اذن هل لذيك موعد؟""}",{}
opensubtitles-2582,gpt2,token_count,,,,,,,,,,,,,7,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""كنت أخطو على أصابع قدميه كثيرًا""}",{}
opensubtitles-1756,gpt2,token_count,,,,,,,,,,,,,5,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""(بيل) !""}",{}
opensubtitles-93,gpt2,token_count,,,,,,,,,,,,,17,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""هو قمعيُ، لذا سرعة الريحَ تزِيدُ بينما الهواء يُصبحُ معصوراً.""}",{}
opensubtitles-7498,gpt2,token_count,,,,,,,,,,,,,2,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""سيدي""}",{}
opensubtitles-491,gpt2,token_count,,,,,,,,,,,,,11,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""عندما ضَربوا الجوَّ , الأورورا مَخْلُوقةُ.""}",{}
opensubtitles-8056,gpt2,token_count,,,,,,,,,,,,,7,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""لا تعودي اليه""}",{}
opensubtitles-9908,gpt2,token_count,,,,,,,,,,,,,9,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": "". أنا حقاً أنتهت علاقتي بهذا الشخص""}",{}
opensubtitles-2782,gpt2,token_count,,,,,,,,,,,,,2,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""مرحبًا""}",{}
opensubtitles-10031,gpt2,token_count,,,,,,,,,,,,,7,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""[تاي يي ريونغ]""}",{}
opensubtitles-4809,gpt2,token_count,,,,,,,,,,,,,7,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""ألا تعتقد أن السائقة كانت ثملة؟""}",{}
opensubtitles-6138,gpt2,token_count,,,,,,,,,,,,,14,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": "". هناك شيء أخر أنا رفضته""}",{}
opensubtitles-4162,gpt2,token_count,,,,,,,,,,,,,13,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""نعم نحن بالفعل وشكراً لك لسماحك لي بالبقاء""}",{}
opensubtitles-8738,gpt2,token_count,,,,,,,,,,,,,2,,"{""source"": ""huggingface"", ""split"": ""train""}","{""non_english"": ""لِمَاذا؟""}",{}
